Dataset,test_f1_macro_mean_GE-11,test_f1_macro_mean_GE-3,test_f1_macro_mean_GE-5,test_f1_macro_mean_GE-7,test_f1_macro_mean_GE-9,test_f1_macro_mean_HARF-70,test_f1_macro_mean_HARF-75,test_f1_macro_mean_HARF-80,test_f1_macro_mean_HARF-85,test_f1_macro_mean_HARF-90,test_f1_macro_mean_ORBoost-11,test_f1_macro_mean_ORBoost-15,test_f1_macro_mean_ORBoost-19,test_f1_macro_mean_ORBoost-3,test_f1_macro_mean_ORBoost-7
1005_glass_10_4.csv.gz,0.8285336933337416,0.7639709175353595,0.7990442938318922,0.8114577882132203,0.8287901505127231,0.778037801866344,0.7494725849268523,0.7177260319281433,0.6903232487389072,0.6670268598851107,0.8170732934981642,0.7808294614555455,0.764054954032654,0.8272452724939943,0.8368844765105317
1005_glass_10_5.csv.gz,0.8489203000223274,0.7674833096832988,0.8054156978711485,0.8240215089687115,0.8396258061024237,0.7890501694039189,0.7673412761610119,0.732770123170838,0.7047990738942768,0.6833874271082081,0.8285911649882646,0.7785846448024033,0.7911335015739495,0.7837076987138281,0.7622111529975518
1005_glass_10_6.csv.gz,0.8420010407237372,0.790931244786822,0.8166772523025239,0.8353772708640517,0.838716930987276,0.8057056140884242,0.7820815794726214,0.7557485929930209,0.7253987546942866,0.7028004059578934,0.8230735343489236,0.8027218310569942,0.8259929574735814,0.8340686791466583,0.8121625620746167
1005_glass_10_7.csv.gz,0.866835792846569,0.8076754582830303,0.8401726861509817,0.8592821740892401,0.8721832350065073,0.8256028884037129,0.7947595444770967,0.7696577282919794,0.7437069600956187,0.7229859061445525,0.7995306254597186,0.819422983505016,0.7948373627247257,0.8556703614168372,0.8389452761844438
1005_glass_10_8.csv.gz,0.8459546503492247,0.7630082328446344,0.8067929502014672,0.8301097774415629,0.8440287090970813,0.7920768189366563,0.753206672178623,0.7264480576205093,0.6936333443300101,0.6687938482624655,0.7873978820387795,0.75912320037869,0.7748405791532375,0.7793631768305386,0.7628568320029336
1005_glass_10_9.csv.gz,0.8438532407097208,0.7477089653669345,0.7916438824339231,0.815973404115189,0.8325734074496784,0.7807709700810519,0.745861299832856,0.7175359619295659,0.6901454406224592,0.665849794620634,0.8062204701407432,0.756852558065986,0.7387028708425692,0.7995024534194318,0.7514277430902352
1005_glass_20_0.csv.gz,0.797164171025095,0.7210450420240008,0.7594871185802297,0.7767786295031933,0.7949852485166379,0.7320196095110518,0.6901421584568526,0.6495135731646053,0.62825616905102,0.6033695764798955,0.8238564925530983,0.8112410379007656,0.7731344162698812,0.8710579197247538,0.816314967571346
1005_glass_20_1.csv.gz,0.8295012412700998,0.7570865372033556,0.7856196905307198,0.8092296742898485,0.8242962504525093,0.7723045667731749,0.7353346927861498,0.7054350689157148,0.6803347599885321,0.6552877129351855,0.8377869584960529,0.8213560528674786,0.8014600411643831,0.8945862311448134,0.8744429416731798
1005_glass_20_2.csv.gz,0.8405100685372185,0.7594968170263805,0.7948117440728691,0.8155900614631002,0.8333301357545705,0.7828550935970174,0.7474297077801662,0.7137638413718687,0.6831932136435498,0.6648165740809603,0.8372268809476529,0.804357299101979,0.8127504490910841,0.8720211256125894,0.8135166015470573
1005_glass_20_3.csv.gz,0.7912321405447844,0.716255488155737,0.7497421771626743,0.7704046782229593,0.7943466003566172,0.7334412394705496,0.6964564266338659,0.6611409180074478,0.6289696938358857,0.6113256027203683,0.8190094455980881,0.8031293194473185,0.767977341846271,0.8329359988487702,0.8330485107314044
1005_glass_20_4.csv.gz,0.8104277570844286,0.7363297427850419,0.7689999031986214,0.7916306221492283,0.8014885083912546,0.7312911605341559,0.6863313663566224,0.6489157443634805,0.6199656735077436,0.5922048018471255,0.8489623184583087,0.845761698840672,0.8235432796593165,0.838870591303988,0.8156690040676555
1005_glass_20_5.csv.gz,0.8375960642023098,0.7719875369786606,0.8062364735470521,0.8253794948875682,0.8392755189948968,0.7804304974556593,0.7444167666519087,0.7068547366701965,0.6819693847845731,0.6592432073950688,0.8366789125932803,0.7788532711250672,0.7731759251694017,0.8733396504612374,0.8236380073902088
1005_glass_20_6.csv.gz,0.7776766266773055,0.7184330524711195,0.7397159342096304,0.7588140094984236,0.7541901991433976,0.702321876294102,0.6596803572526708,0.6271463853321316,0.6035830701272341,0.5832828023137013,0.7555844273258451,0.793223096906149,0.754087059037291,0.7700963033545913,0.754560755034532
1005_glass_20_7.csv.gz,0.8506687892305907,0.7538586039726854,0.7993137007652868,0.8250863857203267,0.847050472286314,0.7852585109160823,0.7519884308603091,0.7144700546274037,0.6856557585338245,0.6604443998822868,0.8114794050324095,0.7696091751292075,0.8226679750832,0.8213805142358788,0.7672435389959823
1005_glass_20_8.csv.gz,0.7747804670507853,0.7298739005354077,0.755553449171289,0.7620806660456337,0.7749375196022408,0.7262632366568204,0.6884073195603321,0.6509987023960325,0.6245490501930234,0.6039734112848355,0.7567792730778795,0.7599537110101956,0.713689709566372,0.8388198554898106,0.8022756998498177
1005_glass_20_9.csv.gz,0.820575046871949,0.7393557829325406,0.7770619798909615,0.7936517510838875,0.8179881702780571,0.7500480159141766,0.7057425476283725,0.6717041517648616,0.6404899850530373,0.60945996849268,0.8667596472235537,0.8460830822104007,0.838212132766397,0.8741427007861585,0.8929526813599773
1005_glass_5_0.csv.gz,0.8545390621255118,0.7766101432695696,0.8125366565551312,0.8358923208131361,0.8556271271921022,0.7939376390070056,0.7695666108622997,0.7515573698280074,0.7229648150349558,0.6943713730127472,0.792291847599528,0.8035010940696249,0.7811905166409296,0.8383993699697837,0.8167429990110615
1005_glass_5_1.csv.gz,0.8598683793959455,0.8112590249554095,0.8417000410847199,0.8563008651904093,0.8634113533513331,0.8211253352522446,0.7962814412282638,0.7667746022692286,0.7366495231575371,0.7140596467965554,0.818877771859468,0.8194868748239571,0.8304246520637873,0.818255281391109,0.8402207197508325
1005_glass_5_2.csv.gz,0.83437111403947,0.770012612665426,0.8061003441119509,0.8217388084639843,0.834430096814975,0.7933773159189523,0.7677567450854391,0.7411528504514934,0.7160105657968452,0.6942394720092853,0.8006022765379683,0.7738205484078696,0.7921889101929199,0.8084845651360466,0.8103692977142846
1005_glass_5_3.csv.gz,0.8521069847702966,0.7779770435050877,0.8173277770417422,0.8362918243858312,0.8527100681283324,0.8009211652413988,0.7783751386007465,0.7547687713567488,0.7276766744185958,0.7021211699233253,0.834626747313855,0.8382582465435603,0.8191361408906559,0.8553647032296982,0.8094950564618802
1005_glass_5_4.csv.gz,0.8486603066016533,0.7806451617550358,0.8170368771489648,0.8317350693918256,0.8479305300055242,0.805016440225415,0.777960433123611,0.7459677669183837,0.7217150110118479,0.6988318251318685,0.783088303653294,0.7744353177878115,0.781239751931476,0.7860888760431152,0.7642480445866663
1005_glass_5_5.csv.gz,0.835223452424471,0.7401195550972564,0.7794467892040698,0.7984578102985672,0.8226346236884773,0.7778089175757087,0.7441850788531695,0.7141649301727773,0.6903589445648136,0.6737908524625904,0.7536991490287845,0.7283943769673953,0.7414801631197411,0.7907301015824929,0.7393475074666036
1005_glass_5_6.csv.gz,0.8080701778727666,0.749872391024462,0.7787842448351588,0.8014991130635292,0.809104329546402,0.7655051599931972,0.7400928103327422,0.7153388486969432,0.6934754021526295,0.6713464475683648,0.7846298790170576,0.7680097553686565,0.7610826077230852,0.816712332819367,0.7889199478857697
1005_glass_5_7.csv.gz,0.8591873342376617,0.785954925785564,0.8196599337287218,0.8403227208762509,0.8546920005089882,0.8137281290189344,0.777759676147171,0.7588551260423667,0.7264731647830724,0.7057286087264878,0.7698458704991203,0.810221723417103,0.7809647318281745,0.885946963221904,0.8234165188761935
1005_glass_5_8.csv.gz,0.8430444351555261,0.7711566529984922,0.8106548623281837,0.8291413901490423,0.8426667246814908,0.8018912098899446,0.7770314056261672,0.7572665282867582,0.7264095709311416,0.7055675461694758,0.808440392330968,0.7776714709880136,0.7805066427354749,0.8544368792381805,0.82549881749738
1005_glass_5_9.csv.gz,0.8576420042322478,0.775745894303994,0.8174105413814616,0.8309097803439529,0.8476082654690035,0.7956870051596019,0.7666941900287165,0.7384703961091601,0.7158102471216197,0.6923450970297216,0.7842198970538206,0.7506588668655024,0.7676323040842911,0.7936615268448672,0.7740553026954096
1006_lymph_10_0.csv.gz,0.8594147152452106,0.8246191521819987,0.8534324863184233,0.8636630068303546,0.8590716703413435,0.8594162196007631,0.8354381992015177,0.8064411080892878,0.7850989280229865,0.7613980010737491,0.5333870553320041,0.5460063919805788,0.58370638044721,0.5891765227719223,0.5790913756990702
1006_lymph_10_1.csv.gz,0.8520077312800711,0.8304814516376408,0.8503798415134686,0.8519368980363474,0.8533360355471141,0.8635532077850094,0.8420141219557484,0.8124065941710898,0.7917698428475116,0.7690985728593032,0.6055560361394156,0.6525075628947608,0.6945960327717253,0.6779562056145753,0.6370963222689692
1006_lymph_10_2.csv.gz,0.856077758511638,0.8314165729964407,0.8550881646277666,0.8609183739140067,0.8552959042514491,0.8640929779773299,0.8389945176523945,0.8142008366995118,0.7919117428267652,0.7674924775398426,0.623670740760592,0.6514054105465492,0.6305531742784029,0.7189826481215051,0.6848154682725278
1006_lymph_10_3.csv.gz,0.8504813102670596,0.820955919247449,0.8518493734961597,0.8539547816782208,0.8490327513288582,0.849290607677154,0.8224510492240278,0.794170997487238,0.7751221985826585,0.7542429300093457,0.5528689089645356,0.5719846098550208,0.5834389977924421,0.5887563225397509,0.5804113950401638
1006_lymph_10_4.csv.gz,0.8582561961316106,0.8330667469252727,0.8572445311709203,0.8628314173342382,0.8608478006408111,0.8654170125227455,0.8458578190914509,0.8161385397130563,0.7921494749842389,0.7680138957107383,0.6557186692868671,0.6046176580758497,0.6018559993049372,0.729031478565615,0.6492298559321472
1006_lymph_10_5.csv.gz,0.8447613318549126,0.8229570733232837,0.845182183964903,0.8512867180361312,0.8570383541825736,0.8528102648371962,0.8245605337714816,0.7977763591247466,0.7710902777771353,0.7507952939646944,0.6023154813479494,0.6236438567992026,0.6411711218652502,0.6191195918143648,0.6439898421887991
1006_lymph_10_6.csv.gz,0.8188248700334728,0.7967207408924476,0.8131684221803687,0.821770695649909,0.8129132523067978,0.8241244553061731,0.7974009682942108,0.7685670251855646,0.7494721056792336,0.7228886608448551,0.6580785104348079,0.6473300763107747,0.6425240461609627,0.6753529383525465,0.7008722679140371
